time,GDD_E,GDD_D,Tw,DrI
1950,2073.979150390633,2302.820367431645,-10.145312499999932,0.10357639749794723
1951,1739.789697265633,1875.485284423833,-6.323779296874932,0.39224271308365655
1952,1992.248681640633,2275.660028076177,-11.253527832031182,0.06540652941502555
1953,1831.469688034066,2114.373406982427,-10.21210403442376,0.17903252694600108
1954,1727.1849914550864,1927.8308349609424,-9.731494140624932,0.029259623836774915
1955,2164.267266845712,2224.1130920410205,-1.6676513671874318,0.07315052882514306
1956,1395.754272079476,1854.157250976568,-13.188834381103447,0.07951546406050215
1957,1823.884362792977,1911.272149658208,-6.519458007812432,0.00789741318588472
1958,1923.753991699227,2019.4443908691453,-3.639636230468682,0.2469513746554102
1959,2124.3253723144617,2157.982598876958,-4.434130859374932,0.1701213914270053
1960,1854.0511413574304,2028.819268798833,-9.254565429687432,0.04033585892205091
1961,2292.196374511728,2280.027276611333,-2.770434570312432,0.37710844491119255
1962,1906.7578369140708,2215.270623779302,-7.269396972656182,0.19034116276391028
1963,1488.1851745605552,1935.113305664068,-18.262316894531185,0.3822596793010425
1964,1941.057305908212,2149.43798217774,-8.110644531249932,0.012797938927515674
1965,1759.775537109383,1977.828942871099,-8.852099609374932,0.0015186564353374707
1966,2039.0746704101648,2103.8611083984424,-1.2108642578124318,0.07134620285778123
1967,1954.9632507324304,2117.724237060552,-10.029528808593682,0.014130794922732474
1968,1869.1466308593835,1978.841638183599,-5.861010742187432,0.16325551796900561
1969,1715.516656494149,1971.5312438964893,-10.339648437499932,0.027249571201345663
1970,1862.0372863769608,2019.2805725097703,-6.459277343749932,0.18394188010021323
1971,1745.1733642578208,2087.611444091802,-6.972033691406182,0.22487994830748817
1972,1752.465142822274,1751.4077697753955,-3.459521484374932,0.2555304102222388
1973,1750.2647644043052,2019.1763244628955,-8.948840332031182,0.04497031029888077
1974,1791.1486145019614,1782.0306335449268,-1.2039672851561818,0.008045435293135283
1975,1812.5082946777427,1925.641625976568,-3.296252441406182,0.08822489634004704
1976,1835.828210449227,2011.002160644536,-5.619799804687432,0.0708970927400559
1977,1796.0743347168052,1795.860253906255,-2.847583007812432,0.012671165806484624
1978,1734.2329040527427,1850.20327148438,-6.284289550781182,0.22187668960269616
1979,1772.430505371102,1975.416345214849,-7.739001464843682,0.0541567942780995
1980,1566.142236328133,1819.157830810552,-8.113146972656182,0.02566201435921321
1981,1844.4137817382896,2000.164086914068,-8.564257812499932,0.09333064991041803
1982,2127.328088378915,2145.1433349609424,-2.418383789062432,0.10533716672703652
1983,1963.4948364257896,2118.373925781255,-8.828845214843682,0.003606421328143659
1984,1704.1815429687583,1867.00209960938,-7.271166992187432,0.07256324524611653
1985,1792.6527648925864,2156.201074218755,-9.319506835937432,0.17774418485922985
1986,2022.55880126954,2231.5444885253955,-9.474414062499932,0.005360236729673599
1987,1939.3595520019608,2187.8701416015674,-8.536120605468682,0.06544489586637248
1988,2071.9835449218835,2136.1575256347705,-3.318591308593682,0.07098854603095309
1989,2349.270318603524,2289.418908691411,-2.624682617187432,0.0027196184429529265
1990,2213.1205078125085,2241.092492675786,-4.441577148437432,0.14516053062387818
1991,1927.789880371102,2114.876031494145,-9.813281249999932,0.04611034149896611
1992,1964.401422119149,2017.4785705566453,-6.246020507812432,0.29697510761868795
1993,1948.27462158204,2062.338739013677,-4.375903320312432,0.004419856377808519
1994,2397.866662597665,2253.840539550786,-3.474658203124932,0.06307384989421529
1995,2232.801049804696,2243.132775878911,-1.8152954101561816,0.00608263306355517
1996,1953.8630615234456,1981.1425415039112,-2.578784179687432,0.029072860737972845
1997,2342.6058898925867,2227.570031738286,-2.613024902343682,0.12467883319385864
1998,2041.273187255868,2119.172540283208,-3.649401855468682,0.10867054300121014
1999,2114.1109252929773,2261.0280700683643,-5.803881835937432,0.4255691142485427
