time,GDD_E,GDD_D,Tw,DrI
0,1963.4948364257896,2118.373925781255,-8.828845214843682,0.09048916891645684
1,1727.1849914550864,1927.8308349609424,-9.731494140624932,0.06576532934946963
2,2438.74678955079,2378.6589599609424,-3.696032714843682,0.2594783054824239
3,2866.655236816415,2776.2963806152397,-2.265124511718682,0.31775110884374536
4,2438.74678955079,2378.6589599609424,-3.696032714843682,0.1956982454964954
5,1844.4137817382896,2000.1640869140676,-8.564257812499932,0.07777898998118485
6,1395.754272079476,1854.1572509765676,-13.188834381103447,0.12072274023565707
7,1791.1486145019614,1782.0306335449268,-1.2039672851561818,0.047983627774817045
8,2213.1205078125085,2241.092492675786,-4.441577148437432,0.09048916891645684
9,1948.27462158204,2062.338739013677,-4.375903320312432,0.082816122358992
10,1998.0176940918047,2337.99477539063,-11.451525878906182,0.18379370432512157
11,2320.4755187988367,2439.969842529302,-8.575427246093682,0.1096163938095095
12,1488.1851745605552,1935.1133056640676,-18.262316894531185,0.13586049591564292
13,1963.4948364257896,2118.373925781255,-8.828845214843682,0.0633663450201488
14,2181.501702880868,2277.6277099609424,-8.565478515624932,0.1300865512859412
15,2342.6058898925867,2227.570031738286,-3.340563964843682,0.10635140807778695
16,2048.7269226074304,2126.147851562505,-3.335681152343682,0.08626339804703478
17,1812.5082946777427,1925.6416259765676,-3.296252441406182,0.02658279265763311
18,1739.789697265633,1875.485284423833,-6.323779296874932,0.08948896000435852
19,1715.516656494149,1971.5312438964893,-10.339648437499932,0.05504378693259239
