time,GDD_E,GDD_D,Tw,DrI
1950,2073.979150390633,2302.820367431645,-10.145312499999932,0.1466065660855839
1951,1739.789697265633,1875.485284423833,-6.323779296874932,0.08948896000435852
1952,1992.248681640633,2275.660028076177,-11.253527832031182,0.05265596097756943
1953,1831.469688034066,2114.373406982427,-10.21210403442376,0.13586049591564292
1954,1727.1849914550864,1927.8308349609424,-9.731494140624932,0.06576532934946963
1955,2164.267266845712,2224.1130920410205,-1.6676513671874318,0.19564194096078913
1956,1395.754272079476,1854.1572509765676,-13.188834381103447,0.15072274023565707
1957,1823.884362792977,1911.272149658208,-6.519458007812432,0.24652357647444828
1958,1923.753991699227,2019.4443908691453,-3.639636230468682,0.11272570694611822
1959,2124.3253723144617,2157.982598876958,-4.434130859374932,0.10685378804561488
1960,1854.0511413574304,2028.819268798833,-9.254565429687432,0.09389249369898423
1961,2292.1963745117278,2280.027276611333,-2.770434570312432,0.14524853239102203
1962,1906.7578369140708,2215.270623779302,-7.269396972656182,0.11175653612716051
1963,1488.1851745605552,1935.1133056640676,-18.262316894531185,0.10872793722442996
1964,1941.0573059082117,2149.4379821777397,-8.110644531249932,0.15185679029511795
1965,1759.775537109383,1977.828942871099,-8.852099609374932,0.11966014184632263
1966,2039.0746704101648,2103.8611083984424,-1.2108642578124318,0.12699333691858494
1967,1954.9632507324304,2117.724237060552,-10.029528808593682,0.22055717489706894
1968,1869.1466308593835,1978.841638183599,-5.861010742187432,0.2594783054824239
1969,1715.516656494149,1971.5312438964893,-10.339648437499932,0.05504378693259239
1970,1862.0372863769612,2019.2805725097703,-6.459277343749932,0.16524836493041256
1971,1745.1733642578208,2087.611444091802,-6.972033691406182,0.11183368795878368
1972,1752.465142822274,1751.4077697753955,-3.459521484374932,0.1050416867157832
1973,1750.2647644043052,2019.1763244628955,-8.948840332031182,0.1956982454964954
1974,1791.1486145019614,1782.0306335449268,-1.2039672851561818,0.047983627774817045
1975,1812.5082946777427,1925.6416259765676,-3.296252441406182,0.02658279265763311
1976,1835.828210449227,2011.002160644536,-5.619799804687432,0.1305241173961018
1977,1796.0743347168052,1795.860253906255,-2.847583007812432,0.16568677538577198
1978,1734.2329040527427,1850.20327148438,-6.284289550781182,0.11934787612765792
1979,1772.430505371102,1975.416345214849,-7.739001464843682,0.15805137373494976
1980,1566.142236328133,1819.157830810552,-8.113146972656182,0.24617060310066602
1981,1844.4137817382896,2000.1640869140676,-8.564257812499932,0.07777898998118485
1982,2127.328088378915,2145.1433349609424,-2.418383789062432,0.1550161772279884
1983,1963.4948364257896,2118.373925781255,-8.828845214843682,0.0633663450201488
1984,1704.1815429687583,1867.00209960938,-7.271166992187432,0.11311664847813363
1985,1792.6527648925864,2156.201074218755,-9.319506835937432,0.215391303722551
1986,2022.55880126954,2231.5444885253955,-9.474414062499932,0.11675253148385406
1987,1939.3595520019612,2187.8701416015674,-8.536120605468682,0.16748262267112327
1988,2071.9835449218835,2136.1575256347705,-3.318591308593682,0.1865099909260517
1989,2349.270318603524,2289.418908691411,-2.624682617187432,0.1867808166979387
1990,2213.1205078125085,2241.092492675786,-4.441577148437432,0.09048916891645684
1991,1927.789880371102,2114.876031494145,-9.813281249999932,0.17789734890236478
1992,1964.401422119149,2017.4785705566453,-6.246020507812432,0.2174677474461355
1993,1948.27462158204,2062.338739013677,-4.375903320312432,0.082816122358992
1994,2397.866662597665,2253.840539550786,-3.474658203124932,0.11781587518579983
1995,2232.801049804696,2243.132775878911,-1.8152954101561816,0.11808148635019072
1996,1953.8630615234456,1981.1425415039112,-2.578784179687432,0.15864319938425586
1997,2342.6058898925867,2227.570031738286,-2.613024902343682,0.19700896748831334
1998,2041.273187255868,2119.172540283208,-3.649401855468682,0.31775110884374536
1999,2114.1109252929773,2261.0280700683643,-5.803881835937432,0.15965149734113346
2000,2096.828088378915,2071.8625427246143,-2.187854003906182,0.16604519587863498
2001,2111.5345092773523,2200.690789794927,-6.341418457031182,0.1659152500513891
2002,2200.8732238769617,2090.172967529302,-2.031665039062432,0.08195520493270497
2003,2356.5751281738367,2506.716516113286,-8.805285644531182,0.0481082653378562
2004,2087.1944519043054,2239.504571533208,-5.448229980468682,0.015554905782947104
2005,1998.0176940918047,2337.99477539063,-11.451525878906182,0.18379370432512157
2006,2375.948510742196,2478.076226806645,-7.868945312499932,0.09466492947431915
2007,2048.7269226074304,2126.147851562505,-3.335681152343682,0.08626339804703478
2008,1959.397515869149,2051.9790893554737,-4.389208984374932,0.23232743179889076
2009,2320.4755187988367,2439.969842529302,-8.575427246093682,0.1096163938095095
2010,1798.274713134774,2149.344903564458,-12.081835937499932,0.10751301284228862
2011,2438.74678955079,2378.6589599609424,-3.696032714843682,0.12308854012674718
2012,2181.501702880868,2277.6277099609424,-8.565478515624932,0.1300865512859412
2013,1931.5744567871177,2138.3727966308643,-7.609545898437432,0.2201016828734877
2014,2383.003869628915,2245.6887145996143,-1.4332153320311818,0.12519197458777576
2015,2412.9789062500085,2348.860772705083,-3.340563964843682,0.10635140807778695
2016,2364.179650878915,2285.924737548833,-0.6439086914061818,0.24316988594745506
2017,2411.997857666024,2441.2077880859424,-5.189318847656182,0.09671423844302547
2018,2572.2550292968835,2500.791131591802,-1.4982788085936818,0.10254538875199522
2019,2440.647454833993,2409.92592773438,-2.604541015624932,0.07552126348434104
2020,2568.8986145019617,2390.2007080078174,0.7178466796875682,0.15930416205362907
2021,2279.24727783204,2266.529016113286,-2.347155761718682,0.11686392771416576
2022,2866.655236816415,2776.2963806152397,-2.265124511718682,0.15380065714645175
