time,GDD_E,GDD_D,Tw
1950,2073.9791503906335,2302.8203674316455,-10.145312499999932
1951,1739.7896972656333,1875.485284423833,-6.323779296874932
1952,1992.2486816406333,2275.660028076177,-11.253527832031182
1953,1831.469688034066,2114.373406982427,-10.21210403442376
1954,1727.1849914550864,1927.8308349609424,-9.731494140624932
1955,2164.2672668457117,2224.1130920410205,-1.6676513671874318
1956,1395.754272079476,1854.1572509765674,-13.188834381103447
1957,1823.884362792977,1911.272149658208,-6.519458007812432
1958,1923.753991699227,2019.4443908691455,-3.639636230468682
1959,2124.3253723144617,2157.982598876958,-4.434130859374932
1960,1854.0511413574302,2028.819268798833,-9.254565429687432
1961,2292.1963745117273,2280.027276611333,-2.770434570312432
1962,1906.7578369140708,2215.270623779302,-7.269396972656182
1963,1488.1851745605552,1935.1133056640674,-18.262316894531182
1964,1941.0573059082114,2149.4379821777393,-8.110644531249932
1965,1759.7755371093833,1977.8289428710987,-8.852099609374932
1966,2039.0746704101646,2103.8611083984424,-1.2108642578124318
1967,1954.9632507324302,2117.724237060552,-10.029528808593682
1968,1869.1466308593833,1978.8416381835987,-5.861010742187432
1969,1715.516656494149,1971.5312438964893,-10.339648437499932
1970,1862.0372863769614,2019.2805725097705,-6.459277343749932
1971,1745.1733642578208,2087.611444091802,-6.972033691406182
1972,1752.465142822274,1751.4077697753955,-3.459521484374932
1973,1750.2647644043052,2019.1763244628955,-8.948840332031182
1974,1791.1486145019614,1782.0306335449268,-1.2039672851561818
1975,1812.5082946777427,1925.6416259765674,-3.296252441406182
1976,1835.828210449227,2011.0021606445362,-5.619799804687432
1977,1796.0743347168052,1795.860253906255,-2.847583007812432
1978,1734.2329040527427,1850.20327148438,-6.284289550781182
1979,1772.430505371102,1975.4163452148487,-7.739001464843682
1980,1566.1422363281333,1819.1578308105518,-8.113146972656182
1981,1844.4137817382896,2000.1640869140674,-8.564257812499932
1982,2127.328088378915,2145.1433349609424,-2.418383789062432
1983,1963.4948364257896,2118.373925781255,-8.828845214843682
1984,1704.1815429687583,1867.00209960938,-7.271166992187432
1985,1792.6527648925864,2156.201074218755,-9.319506835937432
1986,2022.5588012695396,2231.5444885253955,-9.474414062499932
1987,1939.3595520019614,2187.8701416015674,-8.536120605468682
1988,2071.9835449218835,2136.1575256347705,-3.318591308593682
1989,2349.270318603524,2289.418908691411,-2.624682617187432
1990,2213.1205078125085,2241.092492675786,-4.441577148437432
1991,1927.789880371102,2114.8760314941455,-9.813281249999932
1992,1964.401422119149,2017.4785705566455,-6.246020507812432
1993,1948.2746215820396,2062.338739013677,-4.375903320312432
1994,2397.866662597665,2253.840539550786,-3.474658203124932
1995,2232.801049804696,2243.132775878911,-1.8152954101561818
1996,1953.8630615234458,1981.1425415039112,-2.578784179687432
1997,2342.6058898925867,2227.570031738286,-2.613024902343682
1998,2041.2731872558677,2119.172540283208,-3.649401855468682
1999,2114.1109252929773,2261.0280700683643,-5.803881835937432
2000,2096.828088378915,2071.8625427246143,-2.187854003906182
2001,2111.5345092773523,2200.690789794927,-6.341418457031182
2002,2200.8732238769617,2090.172967529302,-2.031665039062432
2003,2356.5751281738367,2506.716516113286,-8.805285644531182
2004,2087.1944519043054,2239.504571533208,-5.448229980468682
2005,1998.0176940918052,2337.99477539063,-11.451525878906182
2006,2375.948510742196,2478.0762268066455,-7.868945312499932
2007,2048.7269226074304,2126.147851562505,-3.335681152343682
2008,1959.397515869149,2051.9790893554737,-4.389208984374932
2009,2320.4755187988367,2439.969842529302,-8.575427246093682
2010,1798.274713134774,2149.344903564458,-12.081835937499932
2011,2438.74678955079,2378.6589599609424,-3.696032714843682
2012,2181.501702880868,2277.6277099609424,-8.565478515624932
2013,1931.5744567871177,2138.3727966308643,-7.609545898437432
2014,2383.003869628915,2245.6887145996143,-1.4332153320311818
2015,2412.9789062500085,2348.860772705083,-3.340563964843682
2016,2364.179650878915,2285.924737548833,-0.6439086914061818
2017,2411.997857666024,2441.2077880859424,-5.189318847656182
2018,2572.2550292968835,2500.791131591802,-1.4982788085936818
2019,2440.647454833993,2409.92592773438,-2.604541015624932
2020,2568.8986145019617,2390.2007080078174,0.7178466796875682
2021,2279.24727783204,2266.529016113286,-2.347155761718682
2022,2866.655236816415,2776.2963806152393,-2.265124511718682
